Feature,Importance,Cumulative,Cumulative_Pct
ram_gb,0.3214465113458407,0.3214465113458407,32.14465113458406
battery_wh,0.08921282079830638,0.41065933214414707,41.0659332144147
vram_text_main,0.07607185778608275,0.4867311899302298,48.67311899302297
prod_type_main,0.05716735905149333,0.5438985489817231,54.389854898172295
brand,0.05684654588804325,0.6007450948697663,60.07450948697662
depth,0.04385281397779086,0.6445979088475572,64.4597908847557
cpu_turbo_ghz,0.04147530537291901,0.6860732142204762,68.6073214220476
cpu_cores,0.034915272519984455,0.7209884867404607,72.09884867404605
cpu_vendor__AMD,0.02924337276285076,0.7502318595033114,75.02318595033111
width,0.027728453013683655,0.777960312516995,77.79603125169949
height,0.02588844353382801,0.8038487560508231,80.38487560508229
offers_num,0.0248863403718711,0.8287350964226942,82.8735096422694
ssd_gb,0.022666067747113813,0.8514011641698079,85.14011641698077
cpu_base_ghz,0.020575842566331392,0.8719770067361393,87.19770067361391
weight_kg,0.019946144738547958,0.8919231514746873,89.1923151474687
series_main,0.01748968103720878,0.9094128325118961,90.94128325118959
gpu_vendor__NVIDIA,0.01741987208443948,0.9268327045963356,92.68327045963353
cpu_tdp_w,0.01412944729360152,0.9409621518899371,94.0962151889937
vram_gb,0.013386528711223962,0.9543486806011611,95.43486806011609
brightness_cd,0.013056362443047965,0.967405043044209,96.74050430442088
screen_res_main,0.013016352375509941,0.980421395419719,98.04213954197188
screen_size_inch,0.009802263013357583,0.9902236584330766,99.02236584330764
usage_main,0.009776341566923445,1.0,99.99999999999997
